TableS4. Integrated SFTSV sequences for Strains annottated for all the three segments information,,,,,,,,,,,,,,,,,,
accession_L,length_L,collection_date_L,host_L,strain,country_original_L,segment_L,accession_M,length_M,collection_date_M,host_M,country_original_M,segment_M,accession_S,length,collection_date,host,country_original,segment
MT309101,6374,11/30/2014,Homo sapiens,LNDLChina2014-51,China,L,MT309104,3372,11/30/2014,Homo sapiens,China,M,MT309107,1736,41973,Homo sapiens,China,S
MT236315,6371,7/30/2014,ticks,ZJZHSH-LWLTick/China/07/2014,China,L,MT236316,3382,7/30/2014,ticks,China,M,MT236317,1724,41850,ticks,China,S
MN509835,6368,1/1/2011,Homo sapiens,11-China_Henan-1,China,L,OM452244,3378,1/1/2011,Homo sapiens,China: Henan,M,MN510176,1744,40544,Homo sapiens,China,S
MN509837,6368,1/1/2011,Homo sapiens,11-China_Henan-13,China,L,MN510019,3378,1/1/2011,Homo sapiens,China,M,MN510177,1744,40544,Homo sapiens,China,S
MN509836,6368,1/1/2011,Homo sapiens,11-China_Henan-2,China,L,OM452245,3378,1/1/2011,Homo sapiens,China: Henan,M,OM451560,1744,40544,Homo sapiens,China: Henan,S
MN509848,6368,1/1/2011,Homo sapiens,11-China_Henan-266,China,L,OM452246,3378,1/1/2011,Homo sapiens,China: Henan,M,MN510181,1744,40544,Homo sapiens,China,S
MN509849,6368,1/1/2011,Homo sapiens,11-China_Henan-273,China,L,MN510023,3378,1/1/2011,Homo sapiens,China,M,MN510182,1744,40544,Homo sapiens,China,S
MN509839,6368,1/1/2011,Homo sapiens,11-China_Henan-42,China,L,MN510024,3378,1/1/2011,Homo sapiens,China,M,MN510178,1744,40544,Homo sapiens,China,S
MN509863,6368,1/1/2012,Homo sapiens,12-China_Anhui-154,China,L,MN510025,3378,1/1/2012,Homo sapiens,China,M,MN510198,1744,40909,Homo sapiens,China,S
OM452951,6368,1/1/2012,Homo sapiens,12-China_Hebei-24,China: Hebei,L,OM452253,3378,1/1/2012,Homo sapiens,China: Hebei,M,OM451571,1744,40909,Homo sapiens,China: Hebei,S
MN509858,6368,1/1/2012,Homo sapiens,12-China_Henan-103,China,L,MN510026,3378,1/1/2012,Homo sapiens,China,M,MN510194,1744,40909,Homo sapiens,China,S
OM452943,6368,1/1/2012,Homo sapiens,12-China_Henan-108,China: Henan,L,OM452247,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451561,1744,40909,Homo sapiens,China: Henan,S
MN509859,6368,1/1/2012,Homo sapiens,12-China_Henan-109,China,L,MN510027,3378,1/1/2012,Homo sapiens,China,M,OM451562,1744,40909,Homo sapiens,China: Henan,S
MN509860,6368,1/1/2012,Homo sapiens,12-China_Henan-110,China,L,MN510028,3378,1/1/2012,Homo sapiens,China,M,MN510195,1744,40909,Homo sapiens,China,S
MN509861,6368,1/1/2012,Homo sapiens,12-China_Henan-114,China,L,MN510029,3378,1/1/2012,Homo sapiens,China,M,OM451563,1744,40909,Homo sapiens,China: Henan,S
OM452944,6368,1/1/2012,Homo sapiens,12-China_Henan-127,China: Henan,L,OM452248,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510196,1744,40909,Homo sapiens,China,S
OM452945,6368,1/1/2012,Homo sapiens,12-China_Henan-13,China: Henan,L,MN510030,3378,1/1/2012,Homo sapiens,China,M,OM451564,1744,40909,Homo sapiens,China: Henan,S
MN509862,6368,1/1/2012,Homo sapiens,12-China_Henan-143,China,L,MN510031,3378,1/1/2012,Homo sapiens,China,M,MN510197,1744,40909,Homo sapiens,China,S
OM452946,6368,1/1/2012,Homo sapiens,12-China_Henan-194,China: Henan,L,MN510034,3378,1/1/2012,Homo sapiens,China,M,OM451565,1744,40909,Homo sapiens,China: Henan,S
OM452948,6368,1/1/2012,Homo sapiens,12-China_Henan-220,China: Henan,L,OM452250,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451567,1744,40909,Homo sapiens,China: Henan,S
OM452949,6368,1/1/2012,Homo sapiens,12-China_Henan-224,China: Henan,L,OM452251,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510199,1744,40909,Homo sapiens,China,S
MN509851,6368,1/1/2012,Homo sapiens,12-China_Henan-23,China,L,MN510035,3378,1/1/2012,Homo sapiens,China,M,OM451568,1744,40909,Homo sapiens,China: Henan,S
MN509864,6368,1/1/2012,Homo sapiens,12-China_Henan-234,China,L,MN510036,3378,1/1/2012,Homo sapiens,China,M,OM451569,1744,40909,Homo sapiens,China: Henan,S
OM452950,6368,1/1/2012,Homo sapiens,12-China_Henan-237,China: Henan,L,OM452252,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451570,1744,40909,Homo sapiens,China: Henan,S
MN509866,6368,1/1/2012,Homo sapiens,12-China_Henan-265,China,L,MN510037,3378,1/1/2012,Homo sapiens,China,M,MN510201,1744,40909,Homo sapiens,China,S
MN509867,6368,1/1/2012,Homo sapiens,12-China_Henan-270,China,L,MN510038,3378,1/1/2012,Homo sapiens,China,M,MN510202,1744,40909,Homo sapiens,China,S
MN509868,6368,1/1/2012,Homo sapiens,12-China_Henan-271,China,L,OM452254,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510203,1744,40909,Homo sapiens,China,S
OM452952,6368,1/1/2012,Homo sapiens,12-China_Henan-279,China: Henan,L,OM452255,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510204,1744,40909,Homo sapiens,China,S
OM452953,6368,1/1/2012,Homo sapiens,12-China_Henan-30,China: Henan,L,OM452256,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451572,1744,40909,Homo sapiens,China: Henan,S
OM452954,6368,1/1/2012,Homo sapiens,12-China_Henan-32,China: Henan,L,OM452257,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451573,1744,40909,Homo sapiens,China: Henan,S
OM452955,6368,1/1/2012,Homo sapiens,12-China_Henan-324,China: Henan,L,OM452258,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510206,1744,40909,Homo sapiens,China,S
OM452956,6368,1/1/2012,Homo sapiens,12-China_Henan-36,China: Henan,L,MN510040,3378,1/1/2012,Homo sapiens,China,M,OM451574,1744,40909,Homo sapiens,China: Henan,S
OM452957,6368,1/1/2012,Homo sapiens,12-China_Henan-37,China: Henan,L,MN510041,3378,1/1/2012,Homo sapiens,China,M,OM451575,1744,40909,Homo sapiens,China: Henan,S
OM452958,6368,1/1/2012,Homo sapiens,12-China_Henan-40,China: Henan,L,OM452259,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451576,1744,40909,Homo sapiens,China: Henan,S
OM452959,6368,1/1/2012,Homo sapiens,12-China_Henan-41,China: Henan,L,OM452260,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451577,1744,40909,Homo sapiens,China: Henan,S
MN509852,6368,1/1/2012,Homo sapiens,12-China_Henan-48,China,L,MN510043,3378,1/1/2012,Homo sapiens,China,M,MN510186,1744,40909,Homo sapiens,China,S
OM452960,6368,1/1/2012,Homo sapiens,12-China_Henan-5,China: Henan,L,OM452261,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451578,1744,40909,Homo sapiens,China: Henan,S
MN509854,6368,1/1/2012,Homo sapiens,12-China_Henan-53,China,L,MN510045,3378,1/1/2012,Homo sapiens,China,M,MN510188,1744,40909,Homo sapiens,China,S
MN509855,6368,1/1/2012,Homo sapiens,12-China_Henan-54,China,L,OM452262,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451579,1744,40909,Homo sapiens,China: Henan,S
MN509856,6368,1/1/2012,Homo sapiens,12-China_Henan-55,China,L,MN510046,3378,1/1/2012,Homo sapiens,China,M,MN510189,1744,40909,Homo sapiens,China,S
OM452961,6368,1/1/2012,Homo sapiens,12-China_Henan-56,China: Henan,L,OM452263,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451580,1744,40909,Homo sapiens,China: Henan,S
OM452962,6368,1/1/2012,Homo sapiens,12-China_Henan-64,China: Henan,L,OM452264,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451581,1744,40909,Homo sapiens,China: Henan,S
OM452963,6368,1/1/2012,Homo sapiens,12-China_Henan-65,China: Henan,L,OM452265,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451582,1744,40909,Homo sapiens,China: Henan,S
OM452964,6368,1/1/2012,Homo sapiens,12-China_Henan-7,China: Henan,L,OM452266,3378,1/1/2012,Homo sapiens,China: Henan,M,MN510184,1744,40909,Homo sapiens,China,S
OM452965,6368,1/1/2012,Homo sapiens,12-China_Henan-9,China: Henan,L,MN510050,3378,1/1/2012,Homo sapiens,China,M,OM451583,1744,40909,Homo sapiens,China: Henan,S
OM452966,6368,1/1/2012,Homo sapiens,12-China_Henan-90,China: Henan,L,OM452267,3378,1/1/2012,Homo sapiens,China: Henan,M,OM451584,1744,40909,Homo sapiens,China: Henan,S
OM452947,6368,1/1/2012,Homo sapiens,12-China_Hubei-21,China: Hubei,L,OM452249,3378,1/1/2012,Homo sapiens,China: Hubei,M,OM451566,1744,40909,Homo sapiens,China: Hubei,S
MN509865,6368,1/1/2012,Homo sapiens,12-China_Hubei-242,China,L,MN510051,3378,1/1/2012,Homo sapiens,China,M,MN510200,1744,40909,Homo sapiens,China,S
OM452967,6368,1/1/2013,Homo sapiens,13-China_Henan-100,China: Henan,L,MN510053,3378,1/1/2013,Homo sapiens,China,M,OM451585,1744,41275,Homo sapiens,China: Henan,S
OM452968,6368,1/1/2013,Homo sapiens,13-China_Henan-101,China: Henan,L,OM452268,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451586,1744,41275,Homo sapiens,China: Henan,S
MN509876,6368,1/1/2013,Homo sapiens,13-China_Henan-110,China,L,MN510054,3378,1/1/2013,Homo sapiens,China,M,OM451587,1744,41275,Homo sapiens,China: Henan,S
OM452969,6368,1/1/2013,Homo sapiens,13-China_Henan-112,China: Henan,L,OM452269,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451588,1744,41275,Homo sapiens,China: Henan,S
OM452970,6368,1/1/2013,Homo sapiens,13-China_Henan-116,China: Henan,L,OM452270,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451589,1744,41275,Homo sapiens,China: Henan,S
OM452971,6368,1/1/2013,Homo sapiens,13-China_Henan-118,China: Henan,L,OM452271,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451590,1744,41275,Homo sapiens,China: Henan,S
OM452972,6368,1/1/2013,Homo sapiens,13-China_Henan-119,China: Henan,L,OM452272,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451591,1744,41275,Homo sapiens,China: Henan,S
OM452973,6368,1/1/2013,Homo sapiens,13-China_Henan-120,China: Henan,L,OM452273,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451592,1744,41275,Homo sapiens,China: Henan,S
OM452974,6368,1/1/2013,Homo sapiens,13-China_Henan-122,China: Henan,L,OM452274,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451593,1744,41275,Homo sapiens,China: Henan,S
OM452975,6368,1/1/2013,Homo sapiens,13-China_Henan-126,China: Henan,L,MN510055,3378,1/1/2013,Homo sapiens,China,M,OM451594,1744,41275,Homo sapiens,China: Henan,S
MN509880,6368,1/1/2013,Homo sapiens,13-China_Henan-128,China,L,MN510056,3378,1/1/2013,Homo sapiens,China,M,OM451595,1744,41275,Homo sapiens,China: Henan,S
OM452976,6368,1/1/2013,Homo sapiens,13-China_Henan-129,China: Henan,L,OM452275,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451596,1744,41275,Homo sapiens,China: Henan,S
OM452977,6368,1/1/2013,Homo sapiens,13-China_Henan-130,China: Henan,L,OM452276,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451597,1744,41275,Homo sapiens,China: Henan,S
OM452978,6368,1/1/2013,Homo sapiens,13-China_Henan-132,China: Henan,L,OM452277,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451598,1744,41275,Homo sapiens,China: Henan,S
OM452979,6368,1/1/2013,Homo sapiens,13-China_Henan-139,China: Henan,L,OM452278,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451599,1744,41275,Homo sapiens,China: Henan,S
OM452980,6368,1/1/2013,Homo sapiens,13-China_Henan-141,China: Henan,L,OM452279,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510211,1744,41275,Homo sapiens,China,S
OM452981,6368,1/1/2013,Homo sapiens,13-China_Henan-142,China: Henan,L,OM452280,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451600,1744,41275,Homo sapiens,China: Henan,S
OM452982,6368,1/1/2013,Homo sapiens,13-China_Henan-144,China: Henan,L,OM452281,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451601,1744,41275,Homo sapiens,China: Henan,S
MN509881,6368,1/1/2013,Homo sapiens,13-China_Henan-147,China,L,OM452282,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451602,1744,41275,Homo sapiens,China: Henan,S
OM452983,6368,1/1/2013,Homo sapiens,13-China_Henan-154,China: Henan,L,OM452283,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510212,1744,41275,Homo sapiens,China,S
OM452984,6368,1/1/2013,Homo sapiens,13-China_Henan-155,China: Henan,L,OM452284,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451603,1744,41275,Homo sapiens,China: Henan,S
MN509882,6368,1/1/2013,Homo sapiens,13-China_Henan-160,China,L,OM452285,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451604,1744,41275,Homo sapiens,China: Henan,S
OM452985,6368,1/1/2013,Homo sapiens,13-China_Henan-166,China: Henan,L,OM452286,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510214,1744,41275,Homo sapiens,China,S
OM452986,6368,1/1/2013,Homo sapiens,13-China_Henan-170,China: Henan,L,OM452287,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451605,1744,41275,Homo sapiens,China: Henan,S
OM452987,6368,1/1/2013,Homo sapiens,13-China_Henan-177,China: Henan,L,OM452288,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451606,1744,41275,Homo sapiens,China: Henan,S
MN509883,6368,1/1/2013,Homo sapiens,13-China_Henan-178,China,L,OM452289,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451607,1744,41275,Homo sapiens,China: Henan,S
OM452988,6368,1/1/2013,Homo sapiens,13-China_Henan-181,China: Henan,L,OM452290,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451608,1744,41275,Homo sapiens,China: Henan,S
OM452989,6368,1/1/2013,Homo sapiens,13-China_Henan-192,China: Henan,L,OM452291,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451609,1744,41275,Homo sapiens,China: Henan,S
OM452990,6368,1/1/2013,Homo sapiens,13-China_Henan-195,China: Henan,L,OM452292,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451610,1744,41275,Homo sapiens,China: Henan,S
OM452991,6368,1/1/2013,Homo sapiens,13-China_Henan-198,China: Henan,L,MN510058,3378,1/1/2013,Homo sapiens,China,M,OM451611,1744,41275,Homo sapiens,China: Henan,S
OM452992,6368,1/1/2013,Homo sapiens,13-China_Henan-200,China: Henan,L,OM452293,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451612,1744,41275,Homo sapiens,China: Henan,S
OM452993,6368,1/1/2013,Homo sapiens,13-China_Henan-201,China: Henan,L,OM452294,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451613,1744,41275,Homo sapiens,China: Henan,S
MN509885,6368,1/1/2013,Homo sapiens,13-China_Henan-212,China,L,OM452295,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451614,1744,41275,Homo sapiens,China: Henan,S
OM452994,6368,1/1/2013,Homo sapiens,13-China_Henan-213,China: Henan,L,OM452296,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451615,1744,41275,Homo sapiens,China: Henan,S
OM452995,6368,1/1/2013,Homo sapiens,13-China_Henan-219,China: Henan,L,OM452297,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451616,1744,41275,Homo sapiens,China: Henan,S
OM452996,6368,1/1/2013,Homo sapiens,13-China_Henan-221,China: Henan,L,OM452298,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451617,1744,41275,Homo sapiens,China: Henan,S
OM452997,6368,1/1/2013,Homo sapiens,13-China_Henan-224,China: Henan,L,OM452299,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451618,1744,41275,Homo sapiens,China: Henan,S
OM452998,6368,1/1/2013,Homo sapiens,13-China_Henan-229,China: Henan,L,OM452300,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451619,1744,41275,Homo sapiens,China: Henan,S
OM452999,6368,1/1/2013,Homo sapiens,13-China_Henan-238,China: Henan,L,OM452301,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451620,1744,41275,Homo sapiens,China: Henan,S
OM453000,6368,1/1/2013,Homo sapiens,13-China_Henan-24,China: Henan,L,MN510060,3378,1/1/2013,Homo sapiens,China,M,OM451621,1744,41275,Homo sapiens,China: Henan,S
OM453001,6368,1/1/2013,Homo sapiens,13-China_Henan-240,China: Henan,L,OM452302,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451622,1744,41275,Homo sapiens,China: Henan,S
OM453002,6368,1/1/2013,Homo sapiens,13-China_Henan-246,China: Henan,L,OM452303,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451623,1744,41275,Homo sapiens,China: Henan,S
OM453003,6368,1/1/2013,Homo sapiens,13-China_Henan-254,China: Henan,L,OM452305,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451625,1744,41275,Homo sapiens,China: Henan,S
MN509888,6368,1/1/2013,Homo sapiens,13-China_Henan-255,China,L,OM452306,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451626,1744,41275,Homo sapiens,China: Henan,S
OM453004,6368,1/1/2013,Homo sapiens,13-China_Henan-258,China: Henan,L,OM452307,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451628,1744,41275,Homo sapiens,China: Henan,S
OM453005,6368,1/1/2013,Homo sapiens,13-China_Henan-262,China: Henan,L,OM452308,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451629,1744,41275,Homo sapiens,China: Henan,S
MN509890,6368,1/1/2013,Homo sapiens,13-China_Henan-263,China,L,OM452309,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510216,1744,41275,Homo sapiens,China,S
OM453006,6368,1/1/2013,Homo sapiens,13-China_Henan-264,China: Henan,L,OM452310,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510217,1744,41275,Homo sapiens,China,S
OM453007,6368,1/1/2013,Homo sapiens,13-China_Henan-266,China: Henan,L,OM452311,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451630,1744,41275,Homo sapiens,China: Henan,S
OM453008,6368,1/1/2013,Homo sapiens,13-China_Henan-271,China: Henan,L,OM452312,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451631,1744,41275,Homo sapiens,China: Henan,S
OM453009,6368,1/1/2013,Homo sapiens,13-China_Henan-275,China: Henan,L,OM452313,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510218,1744,41275,Homo sapiens,China,S
OM453010,6368,1/1/2013,Homo sapiens,13-China_Henan-279,China: Henan,L,OM452314,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451632,1744,41275,Homo sapiens,China: Henan,S
OM453011,6368,1/1/2013,Homo sapiens,13-China_Henan-280,China: Henan,L,OM452315,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451633,1744,41275,Homo sapiens,China: Henan,S
MN509891,6368,1/1/2013,Homo sapiens,13-China_Henan-288,China,L,MN510061,3378,1/1/2013,Homo sapiens,China,M,MN510219,1744,41275,Homo sapiens,China,S
OM453012,6368,1/1/2013,Homo sapiens,13-China_Henan-29,China: Henan,L,OM452316,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451634,1744,41275,Homo sapiens,China: Henan,S
OM453013,6368,1/1/2013,Homo sapiens,13-China_Henan-292,China: Henan,L,OM452317,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510220,1744,41275,Homo sapiens,China,S
OM453014,6368,1/1/2013,Homo sapiens,13-China_Henan-293,China: Henan,L,OM452318,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451635,1744,41275,Homo sapiens,China: Henan,S
OM453015,6368,1/1/2013,Homo sapiens,13-China_Henan-294,China: Henan,L,OM452319,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451636,1744,41275,Homo sapiens,China: Henan,S
OM453016,6368,1/1/2013,Homo sapiens,13-China_Henan-295,China: Henan,L,OM452320,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510221,1744,41275,Homo sapiens,China,S
OM453017,6368,1/1/2013,Homo sapiens,13-China_Henan-297,China: Henan,L,MN510062,3378,1/1/2013,Homo sapiens,China,M,OM451637,1744,41275,Homo sapiens,China: Henan,S
OM453018,6368,1/1/2013,Homo sapiens,13-China_Henan-299,China: Henan,L,OM452321,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451638,1744,41275,Homo sapiens,China: Henan,S
OM453019,6368,1/1/2013,Homo sapiens,13-China_Henan-30,China: Henan,L,OM452322,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451639,1744,41275,Homo sapiens,China: Henan,S
OM453020,6368,1/1/2013,Homo sapiens,13-China_Henan-300,China: Henan,L,OM452323,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451640,1744,41275,Homo sapiens,China: Henan,S
MN509892,6368,1/1/2013,Homo sapiens,13-China_Henan-302,China,L,OM452324,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451641,1744,41275,Homo sapiens,China: Henan,S
OM453021,6368,1/1/2013,Homo sapiens,13-China_Henan-304,China: Henan,L,OM452325,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451642,1744,41275,Homo sapiens,China: Henan,S
OM453022,6368,1/1/2013,Homo sapiens,13-China_Henan-31,China: Henan,L,OM452326,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451643,1744,41275,Homo sapiens,China: Henan,S
OM453023,6368,1/1/2013,Homo sapiens,13-China_Henan-310,China: Henan,L,OM452327,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451644,1744,41275,Homo sapiens,China: Henan,S
OM453024,6368,1/1/2013,Homo sapiens,13-China_Henan-311,China: Henan,L,OM452328,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451645,1744,41275,Homo sapiens,China: Henan,S
OM453025,6368,1/1/2013,Homo sapiens,13-China_Henan-313,China: Henan,L,OM452329,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451646,1744,41275,Homo sapiens,China: Henan,S
OM453026,6368,1/1/2013,Homo sapiens,13-China_Henan-320,China: Henan,L,OM452330,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451647,1744,41275,Homo sapiens,China: Henan,S
OM453027,6368,1/1/2013,Homo sapiens,13-China_Henan-324,China: Henan,L,OM452331,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451648,1744,41275,Homo sapiens,China: Henan,S
OM453028,6368,1/1/2013,Homo sapiens,13-China_Henan-357,China: Henan,L,MN510063,3378,1/1/2013,Homo sapiens,China,M,OM451649,1744,41275,Homo sapiens,China: Henan,S
OM453029,6368,1/1/2013,Homo sapiens,13-China_Henan-364,China: Henan,L,OM452332,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451650,1744,41275,Homo sapiens,China: Henan,S
OM453030,6368,1/1/2013,Homo sapiens,13-China_Henan-368,China: Henan,L,OM452333,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451651,1744,41275,Homo sapiens,China: Henan,S
MN509895,6368,1/1/2013,Homo sapiens,13-China_Henan-369,China,L,OM452334,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451652,1744,41275,Homo sapiens,China: Henan,S
OM453031,6368,1/1/2013,Homo sapiens,13-China_Henan-37,China: Henan,L,OM452335,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451653,1744,41275,Homo sapiens,China: Henan,S
OM453032,6368,1/1/2013,Homo sapiens,13-China_Henan-371,China: Henan,L,OM452336,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451654,1744,41275,Homo sapiens,China: Henan,S
OM453033,6368,1/1/2013,Homo sapiens,13-China_Henan-38,China: Henan,L,OM452337,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451655,1744,41275,Homo sapiens,China: Henan,S
MN509896,6368,1/1/2013,Homo sapiens,13-China_Henan-382,China,L,OM452338,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451656,1744,41275,Homo sapiens,China: Henan,S
MN509871,6368,1/1/2013,Homo sapiens,13-China_Henan-39,China,L,OM452339,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451657,1744,41275,Homo sapiens,China: Henan,S
MN509898,6368,1/1/2013,Homo sapiens,13-China_Henan-392,China,L,MN510066,3378,1/1/2013,Homo sapiens,China,M,OM451658,1744,41275,Homo sapiens,China: Henan,S
OM453034,6368,1/1/2013,Homo sapiens,13-China_Henan-398,China: Henan,L,OM452340,3378,1/1/2013,Homo sapiens,China: Henan,M,MN510223,1744,41275,Homo sapiens,China,S
MN509872,6368,1/1/2013,Homo sapiens,13-China_Henan-40,China,L,OM452341,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451659,1744,41275,Homo sapiens,China: Henan,S
OM453035,6368,1/1/2013,Homo sapiens,13-China_Henan-408,China: Henan,L,OM452342,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451660,1744,41275,Homo sapiens,China: Henan,S
OM453036,6368,1/1/2013,Homo sapiens,13-China_Henan-420,China: Henan,L,OM452343,3378,1/1/2013,Homo sapiens,China: Henan,M,OM451661,1744,41275,Homo sapiens,China: Henan,S
